index,chinese_idiom,pinyin
134,不知所措,bu4 zhi1 suo3 cuo4
135,不约而同,bu4 yue1 er2 tong2
136,不翼而飞,bu4 yi4 er2 fei1
137,不耻下问,bu4 chi3 xia4 wen4
138,不胫而走,bu4 jing4 er2 zou3
139,不能自拔,bu4 neng2 zi4 ba2
140,不苟言笑,bu4 gou3 yan2 xiao4
141,不解之缘,bu4 jie3 zhi1 yuan2
142,不言而喻,bu4 yan2 er2 yu4
143,不计其数,bu4 ji4 qi2 shu4
144,不识时务,bu4 shi2 shi2 wu4
145,不足挂齿,bu4 zu2 gua4 chi3
146,不辞而别,bu4 ci2 er2 bie2
147,不速之客,bu4 su4 zhi1 ke4
148,不遗余力,bu4 yi2 yu2 li4
149,与世浮沉,yu3 shi4 fu2 chen2
150,与人为善,yu3 ren2 wei2 shan4
151,与日俱增,yu3 ri4 ju4 zeng1
152,与民同乐,yu3 min2 tong2 le4
153,与虎谋皮,yu3 hu3 mou2 pi2
154,丑态百出,chou3 tai4 bai3 chu1
155,专心致志,zhuan1 xin1 zhi4 zhi4
156,专横跋扈,zhuan1 heng4 ba2 hu4
157,世外桃源,shi4 wai4 tao2 yuan2
158,世态炎凉,shi4 tai4 yan2 liang2
159,业精于勤,ye4 jing1 yu2 qin2
160,东倒西歪,dong1 dao3 xi1 wai1
161,东南竹箭,dong1 nan2 zhu2 jian4
162,东奔西走,dong1 ben1 xi1 zou3
163,东山再起,dong1 shan1 zai4 qi3
164,东床娇客,dong1 chuang2 jiao1 ke4
165,东张西望,dong1 zhang1 xi1 wang4
166,东征西讨,dong1 zheng1 xi1 tao3
167,东拉西扯,dong1 la1 xi1 che3
168,东拼西凑,dong1 pin1 xi1 cou4
169,东掩西遮,dong1 yan3 xi1 zhe1
170,东方千骑,dong1 fang1 qian1 qi2
171,东施效颦,dong1 shi1 xiao4 pin2
172,东海扬尘,dong1 hai3 yang2 chen2
173,东涂西抹,dong1 tu2 xi1 mo3
174,东窗事发,dong1 chuang1 shi4 fa1
175,东西南北,dong1 xi1 nan2 bei3
176,东躲西藏,dong1 duo3 xi1 cang2
177,东迁西徙,dong1 qian1 xi1 xi3
178,东邻西舍,dong1 lin2 xi1 she3
179,东飘西荡,dong1 piao1 xi1 dang4
