index,chinese_idiom,pinyin
570,养虎遗患,yang3 hu3 yi2 huan4
571,兼容并包,jian1 rong2 bing4 bao1
572,兼弱攻昧,jian1 ruo4 gong1 mei4
573,兼收并采,jian1 shou1 bing4 cai3
574,兼权熟计,jian1 quan2 shu2 ji4
575,兼而有之,jian1 er2 you3 zhi1
576,兽聚鸟散,shou4 ju4 niao3 san4
577,内外勾结,nei4 wai4 gou1 jie2
578,内忧外患,nei4 you1 wai4 huan4
579,内柔外刚,nei4 rou2 wai4 gang1
580,再接再厉,zai4 jie1 zai4 li4
581,再造之恩,zai4 zao4 zhi1 en1
582,冒名顶替,mao4 ming2 ding3 ti4
583,军法从事,jun1 fa3 cong2 shi4
584,冠盖相属,guan1 gai4 xiang1 zhu3
585,冠绝古今,guan1 jue2 gu3 jin1
586,冤家路窄,yuan1 jia1 lu4 zhai3
587,冥思苦想,ming2 si1 ku3 xiang3
588,冥顽不灵,ming2 wan2 bu4 ling2
589,冬日夏云,dong1 ri4 xia4 yun2
590,冬暖夏凉,dong1 nuan3 xia4 liang2
591,冬温夏清,dong1 wen1 xia4 qing1
592,冯唐易老,feng2 tang2 yi4 lao3
593,冰壶秋月,bing1 hu2 qiu1 yue4
594,冰天雪地,bing1 tian1 xue3 di4
595,冰消雾散,bing1 xiao1 wu4 san4
596,冰清玉洁,bing1 qing1 yu4 jie2
597,冰肌玉骨,bing1 ji1 yu4 gu3
598,冰释前嫌,bing1 shi4 qian2 xian2
599,冰魂雪魄,bing1 hun2 xue3 po4
600,冲锋陷阵,chong1 feng1 xian4 zhen4
601,决一死战,jue2 yi1 si3 zhan4
602,冷嘲热讽,leng3 chao2 re4 feng3
603,冷暖自知,leng3 nuan3 zi4 zhi1
604,冷若冰霜,leng3 ruo4 bing1 shuang1
605,冷言冷语,leng3 yan2 leng3 yu3
606,冷酷无情,leng3 ku4 wu2 qing2
607,几次三番,ji3 ci4 san1 fan1
608,凡夫俗子,fan2 fu1 su2 zi3
609,凤凰于飞,feng4 huang2 yu2 fei1
610,凤毛麟角,feng4 mao2 lin2 jiao3
611,凤舞九天,feng4 wu3 jiu3 tian1
612,凤鸣朝阳,feng4 ming2 zhao1 yang2
613,凶多吉少,xiong1 duo1 ji2 shao3
614,凶神恶煞,xiong1 shen2 e4 sha4
615,出乖弄丑,chu1 guai1 nong4 chou3
616,出人头地,chu1 ren2 tou2 di4
617,出其不意,chu1 qi2 bu4 yi4
618,出口入耳,chu1 kou3 ru4 er3
619,出将入相,chu1 jiang4 ru4 xiang4
620,出尔反尔,chu1 er3 fan3 er3
621,出手得卢,chu1 shou3 de2 lu2
622,出水芙蓉,chu1 shui3 fu2 rong2
623,出生入死,chu1 sheng1 ru4 si3
624,出神入化,chu1 shen2 ru4 hua4
625,出类拔萃,chu1 lei4 ba2 cui4
626,出言吐语,chu1 yan2 tu3 yu3
627,出谋画策,chu1 mou2 hua4 ce4
628,出谷迁乔,chu1 gu3 qian1 qiao2
629,击鼓鸣金,ji1 gu3 ming2 jin1
630,凿凿可据,zao2 zao2 ke3 ju4
631,凿壁偷光,zao2 bi4 tou1 guang1
632,刀光剑影,dao1 guang1 jian4 ying3
633,刀山火海,dao1 shan1 huo3 hai3
634,刀枪入库,dao1 qiang1 ru4 ku4
635,刀耕火耨,dao1 geng1 huo3 nou4
636,分崩离析,fen1 beng1 li2 xi1
637,分庭抗礼,fen1 ting2 kang4 li3
638,分秒必争,fen1 miao3 bi4 zheng1
639,分茅列土,fen1 mao2 lie4 tu3
640,分道扬镳,fen1 dao4 yang2 biao1
641,分钗断带,fen1 chai1 duan4 dai4
642,分门别类,fen1 men2 bie2 lei4
643,切磋琢磨,qie1 cuo1 zhuo2 mo2
644,切肤之痛,qie4 fu1 zhi1 tong4
645,列土封疆,lie4 tu3 feng1 jiang1
646,刚愎自用,gang1 bi4 zi4 yong4
647,刚正不阿,gang1 zheng4 bu4 e1
648,创巨痛深,chuang1 ju4 tong4 shen1
649,初写黄庭,chu1 xie3 huang2 ting2
650,初出茅庐,chu1 chu1 mao2 lu2
651,初来乍到,chu1 lai2 zha4 dao4
652,判若鸿沟,pan4 ruo4 hong2 gou1
653,利令智昏,li4 ling4 zhi4 hun1
654,利欲熏心,li4 yu4 xun1 xin1
655,别具慧眼,bie2 ju4 hui4 yan3
656,别出心裁,bie2 chu1 xin1 cai2
657,别开生面,bie2 kai1 sheng1 mian4
658,别抱琵琶,bie2 bao4 pi2 pa2
659,别无长物,bie2 wu2 chang2 wu4
660,别有洞天,bie2 you3 dong4 tian1
661,刻不容缓,ke4 bu4 rong2 huan3
662,刻舟求剑,ke4 zhou1 qiu2 jian4
663,刻苦钻研,ke4 ku3 zuan1 yan2
664,刻骨铭心,ke4 gu3 ming2 xin1
665,削足适履,xue1 zu2 shi4 lv3
666,削铁如泥,xue1 tie3 ru2 ni2
667,前仆后继,qian2 pu1 hou4 ji4
668,前仰后合,qian2 yang3 hou4 he2
669,前倨后恭,qian2 ju4 hou4 gong1
670,前功尽弃,qian2 gong1 jin4 qi4
671,前呼后拥,qian2 hu1 hou4 yong1
672,前因后果,qian2 yin1 hou4 guo3
673,前思后想,qian2 si1 hou4 xiang3
674,前所未有,qian2 suo3 wei4 you3
675,前歌后舞,qian2 ge1 hou4 wu3
676,前车之鉴,qian2 che1 zhi1 jian4
677,剑拔弩张,jian4 ba2 nu3 zhang1
678,剑树刀山,jian4 shu4 dao1 shan1
679,割席断交,ge1 xi2 duan4 jiao1
680,割袍断义,ge1 pao2 duan4 yi4
681,劈波斩浪,pi1 bo1 zhan3 lang4
682,力不从心,li4 bu4 cong2 xin1
683,力争上游,li4 zheng1 shang4 you2
684,力大无穷,li4 da4 wu2 qiong2
685,力所能及,li4 suo3 neng2 ji2
686,力挽狂澜,li4 wan3 kuang2 lan2
687,力排众议,li4 pai2 zhong4 yi4
688,力透纸背,li4 tou4 zhi3 bei4
689,功不可没,gong1 bu4 ke3 mei2
690,功亏一篑,gong1 kui1 yi1 kui4
691,功德无量,gong1 de2 wu2 liang4
692,功成名就,gong1 cheng2 ming2 jiu4
693,功败垂成,gong1 bai4 chui2 cheng2
694,功遂身退,gong1 sui4 shen1 tui4
695,功高震主,gong1 gao1 zhen4 zhu3
696,加官进爵,jia1 guan1 jin4 jue2
697,动人心弦,dong4 ren2 xin1 xian2
698,助人为乐,zhu4 ren2 wei2 le4
699,劫后余生,jie2 hou4 yu2 sheng1
700,励精图治,li4 jing1 tu2 zhi4
701,劳心焦思,lao2 xin1 jiao1 si1
702,劳民伤财,lao2 min2 shang1 cai2
703,劳燕分飞,lao2 yan4 fen1 fei1
704,劳苦功高,lao2 ku3 gong1 gao1
705,势不两立,shi4 bu4 liang3 li4
706,势均力敌,shi4 jun1 li4 di2
707,势如破竹,shi4 ru2 po4 zhu2
708,勃然大怒,bo2 ran2 da4 nu4
709,勇冠三军,yong3 guan4 san1 jun1
710,勇往直前,yong3 wang3 zhi2 qian2
711,勇猛精进,yong3 meng3 jing1 jin4
712,勤俭持家,qin2 jian3 chi2 jia1
713,勤勤恳恳,qin2 qin2 ken3 ken3
714,勤学苦练,qin2 xue2 ku3 lian4
715,勤能补拙,qin2 neng2 bu3 zhuo1
716,包藏祸心,bao1 cang2 huo4 xin1
717,化为乌有,hua4 wei2 wu1 you3
718,化整为零,hua4 zheng3 wei2 ling2
719,化险为夷,hua4 xian3 wei2 yi2
720,匠心独运,jiang4 xin1 du2 yun4
721,匡时济世,kuang1 shi2 ji4 shi4
722,匪夷所思,fei3 yi2 suo3 si1
723,匹夫之勇,pi3 fu1 zhi1 yong3
724,十全十美,shi2 quan2 shi2 mei3
725,十室九空,shi2 shi4 jiu3 kong1
726,十年寒窗,shi2 nian2 han2 chuang1
727,十拿九稳,shi2 na2 jiu3 wen3
728,十羊九牧,shi2 yang2 jiu3 mu4
729,十面埋伏,shi2 mian4 mai2 fu2
730,十风五雨,shi2 feng1 wu3 yu3
731,千丝万缕,qian1 si1 wan4 lv3
732,千军万马,qian1 jun1 wan4 ma3
733,千变万化,qian1 bian4 wan4 hua4
734,千叮万嘱,qian1 ding1 wan4 zhu3
735,千呼万唤,qian1 hu1 wan4 huan4
736,千奇百怪,qian1 qi2 bai3 guai4
737,千姿百态,qian1 zi1 bai3 tai4
738,千娇百媚,qian1 jiao1 bai3 mei4
739,千山万水,qian1 shan1 wan4 shui3
740,千差万别,qian1 cha1 wan4 bie2
741,千恩万谢,qian1 en1 wan4 xie4
742,千方百计,qian1 fang1 bai3 ji4
743,千疮百孔,qian1 chuang1 bai3 kong3
744,千真万确,qian1 zhen1 wan4 que4
745,千秋万岁,qian1 qiu1 wan4 sui4
746,千端万绪,qian1 duan1 wan4 xu4
747,千篇一律,qian1 pian1 yi1 lv4
748,千言万语,qian1 yan2 wan4 yu3
749,千载难逢,qian1 zai3 nan2 feng2
750,千辛万苦,qian1 xin1 wan4 ku3
751,千里鹅毛,qian1 li3 e2 mao2
752,千钧一发,qian1 jun1 yi1 fa4
753,千门万户,qian1 men2 wan4 hu4
754,千难万险,qian1 nan2 wan4 xian3
755,半信半疑,ban4 xin4 ban4 yi2
756,半壁江山,ban4 bi4 jiang1 shan1
757,半推半就,ban4 tui1 ban4 jiu4
758,半斤八两,ban4 jin1 ba1 liang3
759,半死不活,ban4 si3 bu4 huo2
760,半路出家,ban4 lu4 chu1 jia1
761,半途而废,ban4 tu2 er2 fei4
762,华封三祝,hua2 feng1 san1 zhu4
763,华而不实,hua2 er2 bu4 shi2
764,卑躬屈膝,bei1 gong1 qu1 xi1
765,卓尔不群,zhuo2 er3 bu4 qun2
766,单刀直入,dan1 dao1 zhi2 ru4
767,单枪匹马,dan1 qiang1 pi3 ma3
768,卖刀买犊,mai4 dao1 mai3 du2
769,南冠楚囚,nan2 guan1 chu3 qiu2
770,南征北战,nan2 zheng1 bei3 zhan4
771,南柯一梦,nan2 ke1 yi1 meng4
772,南腔北调,nan2 qiang1 bei3 diao4
773,南辕北辙,nan2 yuan2 bei3 zhe2
774,博古通今,bo2 gu3 tong1 jin1
775,博大精深,bo2 da4 jing1 shen1
776,博学多才,bo2 xue2 duo1 cai2
777,博文约礼,bo2 wen2 yue1 li3
778,博施济众,bo2 shi1 ji4 zhong4
779,博物洽闻,bo2 wu4 qia4 wen2
780,博览群书,bo2 lan3 qun2 shu1
781,博采众长,bo2 cai3 zhong4 chang2
782,博闻多识,bo2 wen2 duo1 shi2
783,卧薪尝胆,wo4 xin1 chang2 dan3
784,危在旦夕,wei1 zai4 dan4 xi1
785,危如累卵,wei1 ru2 lei3 luan3
786,危言耸听,wei1 yan2 song3 ting1
787,却病延年,que4 bing4 yan2 nian2
788,卷土重来,juan3 tu3 chong2 lai2
789,卸磨杀驴,xie4 mo4 sha1 lv2
790,历历在目,li4 li4 zai4 mu4
791,厉兵秣马,li4 bing1 mo4 ma3
792,厉行节约,li4 xing2 jie2 yue1
793,厚古薄今,hou4 gu3 bo2 jin1
794,厚德载物,hou4 de2 zai4 wu4
795,厚此薄彼,hou4 ci3 bo2 bi3
796,厚积薄发,hou4 ji1 bo2 fa1
797,厚貌深情,hou4 mao4 shen1 qing2
798,厝火积薪,cuo4 huo3 ji1 xin1
799,原原本本,yuan2 yuan2 ben3 ben3
800,原封未动,yuan2 feng1 wei4 dong4
801,原来如此,yuan2 lai2 ru2 ci3
802,原汁原味,yuan2 zhi1 yuan2 wei4
803,去伪存真,qu4 wei3 cun2 zhen1
804,去末归本,qu4 mo4 gui1 ben3
805,及时行乐,ji2 shi2 xing2 le4
806,及瓜而代,ji2 gua1 er2 dai4
807,及锋而试,ji2 feng1 er2 shi4
808,双栖双宿,shuang1 qi1 shuang1 su4
809,双管齐下,shuang1 guan3 qi2 xia4
810,反复无常,fan3 fu4 wu2 chang2
811,反客为主,fan3 ke4 wei2 zhu3
812,反戈一击,fan3 ge1 yi1 ji1
813,反目成仇,fan3 mu4 cheng2 chou2
814,反败为胜,fan3 bai4 wei2 sheng4
815,反躬自省,fan3 gong1 zi4 xing3
816,发人深省,fa1 ren2 shen1 xing3
817,发号施令,fa1 hao4 shi1 ling4
818,发奋图强,fa1 fen4 tu2 qiang2
819,发秃齿豁,fa4 tu1 chi3 huo4
820,取精用弘,qu3 jing1 yong4 hong2
821,取而代之,qu3 er2 dai4 zhi1
822,取长补短,qu3 chang2 bu3 duan3
823,受宠若惊,shou4 chong3 ruo4 jing1
824,变古易常,bian4 gu3 yi4 chang2
825,变本加厉,bian4 ben3 jia1 li4
826,口不择言,kou3 bu4 ze2 yan2
827,口出狂言,kou3 chu1 kuang2 yan2
828,口口声声,kou3 kou3 sheng1 sheng1
829,口如悬河,kou3 ru2 xuan2 he2
830,口尚乳臭,kou3 shang4 ru3 xiu4
831,口是心非,kou3 shi4 xin1 fei1
832,口耳之学,kou3 er3 zhi1 xue2
833,口蜜腹剑,kou3 mi4 fu4 jian4
834,口诛笔伐,kou3 zhu1 bi3 fa2
835,古为今用,gu3 wei2 jin1 yong4
836,古井无波,gu3 jing3 wu2 bo1
837,古往今来,gu3 wang3 jin1 lai2
838,古木参天,gu3 mu4 can1 tian1
839,古色古香,gu3 se4 gu3 xiang1
840,古道热肠,gu3 dao4 re4 chang2
841,句斟字酌,ju4 zhen1 zi4 zhuo2
842,另有所图,ling4 you3 suo3 tu2
843,另起炉灶,ling4 qi3 lu2 zao4
844,另辟蹊径,ling4 pi4 xi1 jing4
845,只争朝夕,zhi3 zheng1 zhao1 xi1
846,只手遮天,zhi3 shou3 zhe1 tian1
847,可乘之机,ke3 cheng2 zhi1 ji1
848,可歌可泣,ke3 ge1 ke3 qi4
849,叱咤风云,chi4 zha4 feng1 yun2
850,史无前例,shi3 wu2 qian2 li4
851,叶公好龙,ye4 gong1 hao4 long2
852,叶落归根,ye4 luo4 gui1 gen1
853,号啕大哭,hao2 tao2 da4 ku1
854,号寒啼饥,hao2 han2 ti2 ji1
855,司空见惯,si1 kong1 jian4 guan4
856,叹为观止,tan4 wei2 guan1 zhi3
857,吃苦耐劳,chi1 ku3 nai4 lao2
858,吃醋拈酸,chi1 cu4 nian1 suan1
859,吃里扒外,chi1 li3 pa2 wai4
860,各个击破,ge4 ge4 ji1 po4
861,各尽所能,ge4 jin4 suo3 neng2
862,各执一词,ge4 zhi2 yi1 ci2
863,各抒己见,ge4 shu1 ji3 jian4
864,各显神通,ge4 xian3 shen2 tong1
865,各有千秋,ge4 you3 qian1 qiu1
866,各自为政,ge4 zi4 wei2 zheng4
867,各行其志,ge4 xing2 qi2 zhi4
868,合情合理,he2 qing2 he2 li3
869,吉人天相,ji2 ren2 tian1 xiang4
870,吉光片羽,ji2 guang1 pian4 yu3
871,同仇敌忾,tong2 chou2 di2 kai4
872,同室操戈,tong2 shi4 cao1 ge1
873,同床异梦,tong2 chuang2 yi4 meng4
874,同归于尽,tong2 gui1 yu2 jin4
875,同心协力,tong2 xin1 xie2 li4
876,同恶相济,tong2 e4 xiang1 ji4
877,同气连枝,tong2 qi4 lian2 zhi1
878,同流合污,tong2 liu2 he2 wu1
879,同甘共苦,tong2 gan1 gong4 ku3
880,同病相怜,tong2 bing4 xiang1 lian2
881,同舟共济,tong2 zhou1 gong4 ji4
882,名不虚传,ming2 bu4 xu1 chuan2
883,名列前茅,ming2 lie4 qian2 mao2
884,名利双收,ming2 li4 shuang1 shou1
885,名副其实,ming2 fu4 qi2 shi2
886,名垂青史,ming2 chui2 qing1 shi3
887,名存实亡,ming2 cun2 shi2 wang2
888,名山大川,ming2 shan1 da4 chuan1
889,名正言顺,ming2 zheng4 yan2 shun4
890,名缰利锁,ming2 jiang1 li4 suo3
891,名落孙山,ming2 luo4 sun1 shan1
892,名震一时,ming2 zhen4 yi1 shi2
893,后会无期,hou4 hui4 wu2 qi1
894,后发制人,hou4 fa1 zhi4 ren2
895,后来居上,hou4 lai2 ju1 shang4
896,后继有人,hou4 ji4 you3 ren2
897,后羿射日,hou4 yi4 she4 ri4
898,后起之秀,hou4 qi3 zhi1 xiu4
899,后顾之忧,hou4 gu4 zhi1 you1
900,吐故纳新,tu3 gu4 na4 xin1
901,向壁虚造,xiang4 bi4 xu1 zao4
902,向平之愿,xiang4 ping2 zhi1 yuan4
903,向火乞儿,xiang4 huo3 qi3 er2
904,君子好逑,jun1 zi3 hao3 qiu2
905,吞云吐雾,tun1 yun2 tu3 wu4
906,吞吞吐吐,tun1 tun1 tu3 tu3
907,吞纸抱犬,tun1 zhi3 bao4 quan3
908,吞舟之鱼,tun1 zhou1 zhi1 yu2
909,吠非其主,fei4 fei1 qi2 zhu3
910,否极泰来,pi3 ji2 tai4 lai2
911,含哺鼓腹,han2 bu3 gu3 fu4
912,含商咀征,han2 shang1 ju3 zheng1
913,含情脉脉,han2 qing2 mo4 mo4
914,含沙射影,han2 sha1 she4 ying3
915,含糊其词,han2 hu2 qi2 ci2
916,含苞待放,han2 bao1 dai4 fang4
917,含英咀华,han2 ying1 ju3 hua2
918,含血喷人,han2 xue4 pen1 ren2
919,含辛茹苦,han2 xin1 ru2 ku3
920,含霜履雪,han2 shuang1 lv3 xue3
921,含饴弄孙,han2 yi2 nong4 sun1
922,含齿戴发,han2 chi3 dai4 fa1
923,听天由命,ting1 tian1 you2 ming4
924,吴牛喘月,wu2 niu2 chuan3 yue4
925,吹毛求疵,chui1 mao2 qiu2 ci1
926,吹气如兰,chui1 qi4 ru2 lan2
927,呆若木鸡,dai1 ruo4 mu4 ji1
928,呕心沥血,ou3 xin1 li4 xue4
929,周而复始,zhou1 er2 fu4 shi3
930,味如嚼蜡,wei4 ru2 jiao2 la4
931,呵佛骂祖,he1 fo2 ma4 zu3
932,呼之欲出,hu1 zhi1 yu4 chu1
933,呼庚呼癸,hu1 geng1 hu1 gui3
934,呼牛作马,hu1 niu2 zuo4 ma3
935,呼风唤雨,hu1 feng1 huan4 yu3
936,命悬一线,ming4 xuan2 yi1 xian4
937,命若悬丝,ming4 ruo4 xuan2 si1
938,命途多舛,ming4 tu2 duo1 chuan3
939,咄咄逼人,duo1 duo1 bi1 ren2
940,和光同尘,he2 guang1 tong2 chen2
941,和气致祥,he2 qi4 zhi4 xiang2
942,和盘托出,he2 pan2 tuo1 chu1
943,和蔼可亲,he2 ai3 ke3 qin1
944,和颜悦色,he2 yan2 yue4 se4
945,和风细雨,he2 feng1 xi4 yu3
946,咎由自取,jiu4 you2 zi4 qu3
947,咫尺天涯,zhi3 chi3 tian1 ya2
948,咬文嚼字,yao3 wen2 jiao2 zi4
949,咬牙切齿,yao3 ya2 qie4 chi3
950,咬紧牙根,yao3 jin3 ya2 gen1
951,咳唾成珠,ke2 tuo4 cheng2 zhu1
952,哄堂大笑,hong1 tang2 da4 xiao4
953,响彻云际,xiang3 che4 yun2 ji4
954,响遏行云,xiang3 e4 xing2 yun2
955,哑口无言,ya3 kou3 wu2 yan2
956,哑然失笑,ya3 ran2 shi1 xiao4
957,哗众取宠,hua2 zhong4 qu3 chong3
958,哭天喊地,ku1 tian1 han3 di4
959,哭笑不得,ku1 xiao4 bu4 de2
960,唇亡齿寒,chun2 wang2 chi3 han2
961,唇枪舌剑,chun2 qiang1 she2 jian4
962,唇齿相依,chun2 chi3 xiang1 yi1
963,唯唯诺诺,wei2 wei2 nuo4 nuo4
964,唱筹量沙,chang4 chou2 liang2 sha1
965,唾手可得,tuo4 shou3 ke3 de2
966,唾面自干,tuo4 mian4 zi4 gan1
967,啼笑皆非,ti2 xiao4 jie1 fei1
968,善与人交,shan4 yu3 ren2 jiao1
969,善始善终,shan4 shi3 shan4 zhong1
970,善有善报,shan4 you3 shan4 bao4
971,善气迎人,shan4 qi4 ying2 ren2
972,善男信女,shan4 nan2 xin4 nv3
973,善罢甘休,shan4 ba4 gan1 xiu1
974,善解人意,shan4 jie3 ren2 yi4
975,善门难开,shan4 men2 nan2 kai1
976,喋喋不休,die2 die2 bu4 xiu1
977,喜上眉梢,xi3 shang4 mei2 shao1
978,喜从天降,xi3 cong2 tian1 jiang4
979,喜出望外,xi3 chu1 wang4 wai4
980,喜形于色,xi3 xing2 yu2 se4
981,喜新厌旧,xi3 xin1 yan4 jiu4
982,喜气洋洋,xi3 qi4 yang2 yang2
983,喜眉笑眼,xi3 mei2 xiao4 yan3
984,喜笑颜开,xi3 xiao4 yan2 kai1
985,喧宾夺主,xuan1 bin1 duo2 zhu3
986,嗟来之食,jie1 lai2 zhi1 shi2
987,嗤之以鼻,chi1 zhi1 yi3 bi2
988,嗷嗷待哺,ao2 ao2 dai4 bu3
989,嘉言善行,jia1 yan2 shan4 xing2
990,嘘寒问暖,xu1 han2 wen4 nuan3
991,嘘枯吹生,xu1 ku1 chui1 sheng1
992,噤口卷舌,jin4 kou3 juan3 she2
993,噤若寒蝉,jin4 ruo4 han2 chan2
994,器宇轩昂,qi4 yu3 xuan1 ang2
995,器小易盈,qi4 xiao3 yi4 ying2
996,囊中羞涩,nang2 zhong1 xiu1 se4
997,囊萤映雪,nang2 ying2 ying4 xue3
998,四分五裂,si4 fen1 wu3 lie4
999,四平八稳,si4 ping2 ba1 wen3
1000,四海为家,si4 hai3 wei2 jia1
1001,四通八达,si4 tong1 ba1 da2
1002,四面八方,si4 mian4 ba1 fang1
1003,回光返照,hui2 guang1 fan3 zhao4
1004,回天乏术,hui2 tian1 fa2 shu4
1005,回头是岸,hui2 tou2 shi4 an4
1006,回心转意,hui2 xin1 zhuan3 yi4
1007,回黄转绿,hui2 huang2 zhuan3 lv4
1008,因人成事,yin1 ren2 cheng2 shi4
1009,因利乘便,yin1 li4 cheng2 bian4
1010,因势利导,yin1 shi4 li4 dao3
1011,因噎废食,yin1 ye1 fei4 shi2
1012,因地制宜,yin1 di4 zhi4 yi2
1013,因材施教,yin1 cai2 shi1 jiao4
1014,因果报应,yin1 guo3 bao4 ying4
1015,因陋就简,yin1 lou4 jiu4 jian3
1016,囫囵吞枣,hu2 lun2 tun1 zao3
1017,困知勉行,kun4 zhi1 mian3 xing2
1018,围魏救赵,wei2 wei4 jiu4 zhao4
1019,固若金汤,gu4 ruo4 jin1 tang1
1020,国家栋梁,guo2 jia1 dong4 liang2
1021,国泰民安,guo2 tai4 min2 an1
1022,国破家亡,guo2 po4 jia1 wang2
1023,国色天香,guo2 se4 tian1 xiang1
1024,国计民生,guo2 ji4 min2 sheng1
1025,图穷匕见,tu2 qiong2 bi3 xian4
1026,图谋不轨,tu2 mou2 bu4 gui3
1027,土生土长,tu3 sheng1 tu3 zhang3
1028,土阶茅屋,tu3 jie1 mao2 wu1
1029,土鸡瓦犬,tu3 ji1 wa3 quan3
1030,在官言官,zai4 guan1 yan2 guan1
1031,在所不惜,zai4 suo3 bu4 xi1
1032,地上天宫,di4 shang4 tian1 gong1
1033,地主之谊,di4 zhu3 zhi1 yi4
1034,地动山摇,di4 dong4 shan1 yao2
1035,地大物博,di4 da4 wu4 bo2
1036,地平天成,di4 ping2 tian1 cheng2
1037,坐井观天,zuo4 jing3 guan1 tian1
1038,坐以待毙,zuo4 yi3 dai4 bi4
1039,坐吃山空,zuo4 chi1 shan1 kong1
1040,坐地分赃,zuo4 di4 fen1 zang1
1041,坐怀不乱,zuo4 huai2 bu4 luan4
1042,坐而论道,zuo4 er2 lun4 dao4
1043,坐言起行,zuo4 yan2 qi3 xing2
1044,坚不可摧,jian1 bu4 ke3 cui1
1045,坚壁清野,jian1 bi4 qing1 ye3
1046,坚如磐石,jian1 ru2 pan2 shi2
1047,坚定不移,jian1 ding4 bu4 yi2
1048,坚持不懈,jian1 chi2 bu4 xie4
1049,坚甲利兵,jian1 jia3 li4 bing1
1050,坚苦卓绝,jian1 ku3 zhuo2 jue2
1051,垂头丧气,chui2 tou2 sang4 qi4
1052,垂帘听政,chui2 lian2 ting1 zheng4
1053,垂死挣扎,chui2 si3 zheng1 zha2
1054,垂涎三尺,chui2 xian2 san1 chi3
1055,埋天怨地,man2 tian1 yuan4 di4
1056,城下之盟,cheng2 xia4 zhi1 meng2
1057,城门失火,cheng2 men2 shi1 huo3
1058,堂而皇之,tang2 er2 huang2 zhi1
1059,堆积如山,dui1 ji1 ru2 shan1
1060,堆金积玉,dui1 jin1 ji1 yu4
1061,塞翁失马,sai4 weng1 shi1 ma3
1062,墨守成规,mo4 shou3 cheng2 gui1
1063,壁垒森严,bi4 lei3 sen1 yan2
1064,壁立千仞,bi4 li4 qian1 ren4
1065,壮志凌云,zhuang4 zhi4 ling2 yun2
1066,声东击西,sheng1 dong1 ji1 xi1
1067,声名狼藉,sheng1 ming2 lang2 ji2
1068,声情并茂,sheng1 qing2 bing4 mao4
1069,声气相求,sheng1 qi4 xiang1 qiu2
1070,声色俱厉,sheng1 se4 ju4 li4
1071,壶中天地,hu2 zhong1 tian1 di4
1072,处之泰然,chu3 zhi1 tai4 ran2
1073,处心积虑,chu3 xin1 ji1 lv4
1074,夏炉冬扇,xia4 lu2 dong1 shan4
1075,夕阳西下,xi1 yang2 xi1 xia4
1076,外宽内忌,wai4 kuan1 nei4 ji4
1077,外强中干,wai4 qiang2 zhong1 gan1
1078,夙兴夜寐,su4 xing1 ye4 mei4
1079,多事之秋,duo1 shi4 zhi1 qiu1
1080,多历年所,duo1 li4 nian2 suo3
1081,多多益善,duo1 duo1 yi4 shan4
1082,多情多义,duo1 qing2 duo1 yi4
1083,多愁善感,duo1 chou2 shan4 gan3
1084,多才多艺,duo1 cai2 duo1 yi4
1085,多此一举,duo1 ci3 yi1 ju3
1086,多谋善断,duo1 mou2 shan4 duan4
1087,多财善贾,duo1 cai2 shan4 gu3
1088,夜以继日,ye4 yi3 ji4 ri4
1089,夜深人静,ye4 shen1 ren2 jing4
1090,夜郎自大,ye4 lang2 zi4 da4
1091,夜长梦多,ye4 chang2 meng4 duo1
1092,大义灭亲,da4 yi4 mie4 qin1
1093,大书特书,da4 shu1 te4 shu1
1094,大公无私,da4 gong1 wu2 si1
1095,大刀阔斧,da4 dao1 kuo4 fu3
1096,大功告成,da4 gong1 gao4 cheng2
1097,大动干戈,da4 dong4 gan1 ge1
1098,大势已去,da4 shi4 yi3 qu4
1099,大千世界,da4 qian1 shi4 jie4
1100,大发雷霆,da4 fa1 lei2 ting2
1101,大同小异,da4 tong2 xiao3 yi4
1102,大名鼎鼎,da4 ming2 ding3 ding3
1103,大吹法螺,da4 chui1 fa3 luo2
1104,大喜过望,da4 xi3 guo4 wang4
1105,大器晚成,da4 qi4 wan3 cheng2
1106,大声疾呼,da4 sheng1 ji2 hu1
1107,大失所望,da4 shi1 suo3 wang4
1108,大巧若拙,da4 qiao3 ruo4 zhuo1
1109,大庭广众,da4 ting2 guang3 zhong4
1110,大张挞伐,da4 zhang1 ta4 fa2
1111,大彻大悟,da4 che4 da4 wu4
1112,大快人心,da4 kuai4 ren2 xin1
1113,大惊小怪,da4 jing1 xiao3 guai4
1114,大惑不解,da4 huo4 bu4 jie3
1115,大慈大悲,da4 ci2 da4 bei1
1116,大手大脚,da4 shou3 da4 jiao3
1117,大摇大摆,da4 yao2 da4 bai3
1118,大放厥词,da4 fang4 jue2 ci2
1119,大敌当前,da4 di2 dang1 qian2
1120,大方无隅,da4 fang1 wu2 yu2
1121,大是大非,da4 shi4 da4 fei1
1122,大显身手,da4 xian3 shen1 shou3
1123,大智若愚,da4 zhi4 ruo4 yu2
1124,大权旁落,da4 quan2 pang2 luo4
1125,大材小用,da4 cai2 xiao3 yong4
1126,大模大样,da4 mu2 da4 yang4
1127,大江东去,da4 jiang1 dong1 qu4
1128,大相径庭,da4 xiang1 jing4 ting2
1129,大禹治水,da4 yu3 zhi4 shui3
1130,大而无当,da4 er2 wu2 dang4
1131,大腹便便,da4 fu4 pian2 pian2
1132,大获全胜,da4 huo4 quan2 sheng4
1133,大言不惭,da4 yan2 bu4 can2
